Tank,Group,Treatment,Whole Weight,Shell Weight,Sampler,Sample #,Histology Cassette,Condition Index,Notes
5,Merimbula,21,122.04,107.14,Laura,41,10,88%,
5,Merimbula,21,87.16,72.52,Laura,42,10,83%,
5,Merimbula,21,146.58,125.72,Pandora,43,10,86%,
5,Merimbula,21,89.29,74.08,Laura,44,10,83%,
5,Merimbula,21,83.55,68.08,Pandora,45,11,81%,
5,Merimbula,21,79.02,64.47,,46,11,82%,
1,Merimbula,24,84.6,68.23,Laura,47,11,81%,White Sic present! 
1,Merimbula,24,220.97,172.95,Pandora,48,11,78%,
1,Merimbula,24,95.35,76.77,Laura,49,12,81%,
1,Merimbula,24,200.41,167.34,Pandora,50,12,83%,
1,Merimbula,24,69.78,54.26,Laura,51,12,78%,
1,Merimbula,24,84.65,66.63,Pandora,52,12,79%,
9,Port Stephens,18,101.52,74.51,Laura,53,12,73%,
9,Port Stephens,18,88.69,69.17,Pandora,54,13,78%,
9,Port Stephens,18,81.25,60.51,Laura,55,13,74%,
9,Port Stephens,18,59.21,43.78,Pandora,56,13,74%,
9,Port Stephens,18,76.09,58.19,Laura,57,13,76%,
9,Port Stephens,18,106.7,83.61,Pandora,58,13,78%,
2,Merimbula,24,90.08,73.4,Laura,59,14,81%,
2,Merimbula,24,97.38,81.32,Pandora,60,14,84%,
2,Merimbula,24,120.96,98.31,Laura,61,14,81%,
2,Merimbula,24,115.23,96.87,Laura,62,14,84%,
2,Merimbula,24,124.58,99.44,Pandora,63,14,80%,
2,Merimbula,24,70.74,55.84,Pandora,64,15,79%,
10,Merimbula,18,94.91,80.26,Pandora,65,15,85%,
10,Merimbula,18,75.84,62.67,Pandora,66,15,83%,
10,Merimbula,18,90.95,74.43,Laura,67,15,82%,
10,Merimbula,18,272.91,237.75,Pandora,68,15,87%,
10,Merimbula,18,88.37,72.79,Laura,69,16,82%,Messy gonad tissue sample (very dirty with gut contents)
10,Merimbula,18,84.66,69.82,Pandora,70,16,82%,
6,Port Stephens,21,71.06,50.13,Pandora,71,17,71%,
6,Port Stephens,21,81.71,64.02,Pandora,72,17,78%,
6,Port Stephens,21,78.32,58.68,,73,17,75%,
6,Port Stephens,21,64.03,48.06,,74,17,75%,
6,Port Stephens,21,65.03,51.5,,75,17,79%,
6,Port Stephens,21,69.56,49.57,,76,18,71%,
11,Merimbula,18,88.31,72.23,Pandora,77,18,82%,
11,Merimbula,18,77.51,64.06,Laura,78,18,83%,
11,Merimbula,18,155.09,132.34,Pandora,79,18,85%,
11,Merimbula,18,73.76,58.19,Laura,80,18,79%,
11,Merimbula,18,115.57,90.97,Pandora,81,19,79%,
11,Merimbula,18,103.82,81.87,Pandora,82,19,79%,
7,Port Stephens,21,80.47,56.52,Pandora,83,19,70%,
7,Port Stephens,21,42.76,33.06,Laura,84,19,77%,
7,Port Stephens,21,58.89,45.1,Pandora,85,19,77%,
7,Port Stephens,21,75.98,60.76,Laura,86,20,80%,"Left valve compromised by parasitic sponge, crushed when shucking, odd looking mantle"
7,Port Stephens,21,98.95,74.84,Laura,87,20,76%,
7,Port Stephens,21,61.16,44.82,Pandora,88,20,73%,Missing a small amount of mass (weighted after sampling)
3,Port Stephens,24,65.76,48.57,Pandora,89,20,74%,
3,Port Stephens,24,61.46,46.07,Pandora,90,20,75%,
3,Port Stephens,24,102.61,85.56,Laura,91,21,83%,
3,Port Stephens,24,66.53,51.89,Pandora,92,21,78%,
3,Port Stephens,24,64.45,49.14,Laura,93,21,76%,
3,Port Stephens,24,74.54,58.49,Pandora,94,21,78%,
12,Port Stephens,18,67.57,56.37,Pandora,95,21,83%,
12,Port Stephens,18,55.27,41.6,Pandora,96,22,75%,
12,Port Stephens,18,35.61,28.3,Laura,97,22,79%,
12,Port Stephens,18,74.64,58.15,Pandora,98,22,78%,
12,Port Stephens,18,88.45,67.69,Laura,99,22,77%,
12,Port Stephens,18,83.58,60.36,Pandora,100,22,72%,
4,Port Stephens,24,148.35,122.95,Pandora,101,23,83%,
4,Port Stephens,24,73.01,57.86,Pandora,102,23,79%,
4,Port Stephens,24,73.69,53.41,Laura,103,23,72%,
4,Port Stephens,24,77.53,59.36,Laura,104,23,77%,
4,Port Stephens,24,69.23,50.78,Pandora,105,23,73%,
4,Port Stephens,24,60.37,46,Pandora,106,24,76%,
8,Merimbula,21,80.91,64.39,Pandora,107,24,80%,
8,Merimbula,21,66.13,52.29,Laura,108,24,79%,
8,Merimbula,21,97.27,80.65,Pandora,109,24,83%,
8,Merimbula,21,102.3,84.25,Laura,110,25,82%,
8,Merimbula,21,92,72.85,Pandora,111,25,79%,
8,Merimbula,21,185.35,150.88,Laura,112,25,81%,
